	Without Enlarge						With Enlarge		
	HP Left		Hit Damage				HP Left		Hit Damage
	10		11				9		12
	12		9				7		14
	11		10				9		12
	10		11				10		11
	11		10				12		9
	9		12				8		13
	10		11				11		10
	12		9				10		11
	8		13				10		11
	12		9				9		12
	9		12				11		10
	9		12				9		12
	8		13				10		11
	10		11				10		11
	7		14				11		10
	10		11				8		13
	10		11				9		12
	11		10				12		9
	8		13				10		11
	12		9				8		13
	8		13				8		13
	8		13				11		10
	9		12				11		10
	9		12				10		11
	9		12				9		12
	8		13				8		13
	12		9				9		12
	12		9				11		10
	9		12				10		11
	12		9				10		11
	10		11				11		10
	11		10				8		13
	11		10				13		8
	7		14				10		11
	8		13				11		10
	11		10				12		9
	9		12				8		13
	7		14				11		10
	11		10				13		8
	11		10				7		14
	10		11				13		8
	8		13				10		11
	11		10				11		10
	9		12				8		13
	11		10				11		10
	12		9				8		13
	13		8				11		10
	11		10				10		11
	9		12				11		10
	11		10				7		14
	7		14				7		14
	11		10				9		12
	10		11				9		12
	9		12				12		9
	12		9				8		13
	9		12				11		10
	12		9				10		11
	12		9				11		10
	12		9				8		13
	10		11				8		13
	11		10				11		10
	10		11				9		12
	11		10				11		10
	10		11				9		12
	11		10				9		12
	11		10				8		13
	12		9				10		11
	10		11				9		12
	9		12				9		12
	13		8				7		14
	10		11				12		9
	10		11				8		13
	11		10				10		11
	13		8				12		9
	10		11				10		11
	7		14				10		11
	10		11				10		11
	9		12				11		10
	13		8				11		10
	10		11				9		12
	12		9				12		9
	10		11				8		13
	12		9				13		8
	8		13				11		10
	12		9				10		11
	11		10				13		8
	7		14				13		8
	10		11				11		10
	11		10				9		12
	10		11				11		10
	9		12				8		13
	13		8				11		10
	9		12				9		12
	10		11				13		8
	8		13				9		12
	9		12				7		14
	9		12				11		10
	9		12				11		10
	12		9				10		11
	10		11				9		12
	9		12				7		14
	13		8				9		12
	10		11				10		11
	9		12				7		14
	8		13				10		11
	11		10				11		10
	11		10				12		9
	9		12				7		14
	9		12				11		10
	11		10				12		9
	11		10				11		10
	11		10				8		13
	11		10				11		10
	8		13				10		11
	12		9				13		8
	9		12				10		11
	9		12				7		14
	11		10				11		10
	9		12				13		8
	10		11				13		8
	7		14				12		9
	10		11				8		13
	12		9				7		14
	10		11				7		14
	11		10				9		12
	11		10				10		11
	13		8				7		14
	11		10				9		12
	10		11				13		8
	8		13				9		12
	12		9				9		12
	8		13				10		11
	8		13				10		11
	8		13				9		12
	7		14				10		11
	12		9				11		10
	11		10				10		11
	8		13				11		10
	11		10				11		10
	11		10				13		8
	10		11				10		11
	12		9				12		9
	8		13				7		14
	8		13				9		12
	10		11				9		12
	7		14				9		12
	12		9				9		12
	10		11				9		12
	11		10				9		12
	10		11				10		11
	12		9				10		11
	13		8				11		10
	7		14				12		9
	10		11				8		13
	10		11				7		14
	10		11				8		13
	12		9				11		10
	9		12				11		10
	12		9				11		10
	10		11				7		14
	11		10				13		8
	12		9				11		10
	10		11				11		10
	13		8				10		11
	7		14				11		10
	8		13				11		10
	7		14				10		11
	8		13				10		11
	8		13				11		10
	8		13				9		12
	11		10				10		11
	12		9				11		10
	10		11				12		9
	11		10				11		10
	10		11				11		10
	12		9				11		10
	10		11				10		11
	9		12				8		13
	11		10				9		12
	11		10				8		13
	13		8				13		8
	9		12				12		9
	11		10				10		11
	7		14				10		11
	10		11				8		13
	11		10				11		10
	8		13				9		12
	8		13				11		10
	10		11				11		10
	10		11				9		12
	10		11				10		11
	11		10				11		10
	9		12				10		11
	11		10				8		13
	9		12				11		10
	8		13				9		12
	12		9				8		13
	8		13				12		9
	12		9				13		8
	9		12				9		12
	12		9				7		14
	13		8				10		11
	13		8				11		10
	11		10				12		9
	9		12				12		9
	11		10				9		12
	9		12				13		8
	8		13				11		10
	8		13				10		11
	10		11				8		13
	10		11				10		11
	12		9				9		12
	10		11				11		10
	9		12				10		11
	9		12				12		9
	8		13				12		9
	12		9				10		11
	9		12				10		11
	11		10				8		13
	11		10				9		12
	10		11				8		13
	11		10				12		9
	10		11				11		10
	9		12				8		13
	11		10				8		13
	8		13						
	11		10						11.03555556
	9		12						
	8		13						
	10		11						
	10		11						
	10		11						
	11		10						
	13		8						
	11		10						
	8		13						
	12		9						
	8		13						
	10		11						
	12		9						
	10		11						
	8		13						
	11		10						
	12		9						
	9		12						
	11		10						
	11		10						
	9		12						
	11		10						
	10		11						
	10		11						
	7		14						
	11		10						
	11		10						
	13		8						
	10		11						
	9		12						
	9		12						
	7		14						
	12		9						
	10		11						
	12		9						
	11		10						
	12		9						
	9		12						
	10		11						
	10		11						
	12		9						
	10		11						
	9		12						
	11		10						
	12		9						
	8		13						
	9		12						
	12		9						
	8		13						
	8		13						
	9		12						
	9		12						
									
			10.93189964						
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			10.93189964						
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							0		
							0		
							0		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							1		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							0		
							0		
							0		
							2		
							0		
							2		
							0		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							2		
							0		
							1		
							1		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							0		
							1		
							0		
							2		
							2		
							0		
							2		
							2		
							0		
